[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_common_order_tracking_upload
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_common_picture
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_common_report_template
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_complex_reception_command
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_complex_reception_command_package
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_deduction_command
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_deduction_command_detail
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_deduction_merchandise_item_rel
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_deduction_order
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_deduction_order_delivery_standard
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_deduction_order_detail
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_command
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_command_logistics_order
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_command_outwarehosue_detail
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_command_system_order
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_task
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_timeout_task
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_timeout_task_history
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_delivery_timeout_task_history_id
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_dispatch_command
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_dispatch_command_container
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_dispatch_command_package
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_dispatch_command_reception_address
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_costs_charge
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_income_charge
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_logistics_info
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_error_msg
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_exception
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_express_info
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_insurance_info
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_merchandise
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_message_sync
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_package
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_payable
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_payable_mid
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_productservice
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_revenue
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_revenue_mid
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_ece_order_tracking_message_sync
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_edispatch_command
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_edispatch_command_container
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_edispatch_command_merchandise
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_edispatch_command_package
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_export_clearance_command
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_export_clearance_command_cargo_info
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_export_clearance_command_packinglist
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_consignee_address
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_customer_address
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_customs_order
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_exception
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_freeze_revenue
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_order
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_order_payable
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_order_service
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_package
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_packageline
[INFO] 2018-08-20 15:15:38 [Line 106] com.winit.generator.task.InitTask.doInternal - 数据库表名：oms_global_transfer_payable
